direct_distance,road_distance,num_l_turns,num_r_turns,num_straights,median_angle,total_angle,mean_angle,std_angle,max_angle,min_angle,median_pivot_off,mean_pivot_off,std_pivot_off,max_pivot_off,min_pivot_off,duration_seconds,safety
239.43738967899463,2041.302731086764,10,7,4,255.0,3495,205.58823529411765,130.23601147578617,345,15,27.0,28.176470588235293,13.669352986614411,47,2,76.648963,0
116.17418861005244,2517.616059079303,11,8,4,255.0,3900,205.26315789473685,105.0623083824988,345,45,17.0,17.789473684210527,12.59314327790042,47,2,86.179071,0
235.3610503545358,2261.601079642718,8,7,3,255.0,2970,198.0,111.06754701531857,345,30,22.0,23.0,14.39907404430345,47,2,76.355931,0
26.78348258463238,1628.239187036219,3,5,3,97.5,1125,140.625,101.71766992514132,300,15,32.0,30.125,14.563975247163803,47,2,52.900831,1
177.5049295090139,1159.771117778099,10,10,5,202.5,3675,183.75,143.94334823117043,345,15,17.0,24.0,13.2664991614216,47,7,39.770327,1
225.27105625374384,2034.5600196205608,8,7,3,270.0,2940,196.0,124.35433245367852,345,15,27.0,29.0,14.0,47,7,75.445638,0
146.84250886188423,1438.4270205387925,9,4,3,300.0,3180,244.6153846153846,105.3101926994274,345,60,27.0,23.923076923076923,15.00493015625474,47,2,66.358666,0
35.14295454662025,1654.196411492372,7,8,3,90.0,2475,165.0,135.49907748763457,345,15,22.0,27.666666666666668,16.316317667360558,47,2,68.156064,0
116.17418861005244,1741.8973634804097,5,9,2,67.5,1935,138.21428571428572,125.00867316849236,345,15,27.0,27.0,12.24744871391589,47,7,63.943928,0
167.74661140877944,1982.0219266277927,6,9,2,105.0,2265,151.0,109.88175462741756,315,15,17.0,21.666666666666668,14.197026292697904,47,2,76.579731,0
21.3433690545087,1302.4875967903467,8,8,3,195.0,2925,182.8125,129.60238170554584,345,15,17.0,21.375,13.331705629813465,42,2,74.089704,0
84.5803907040383,2422.568234651893,10,10,6,187.5,3645,182.25,118.6114981778748,345,30,19.5,21.75,14.271912976192084,47,2,76.012741,1
72.49191721726419,1879.1379940536383,12,7,7,300.0,4290,225.7894736842105,116.54300265629011,345,30,17.0,20.42105263157895,12.36001954296566,42,2,73.650173,0
205.2997808084558,2051.5510142409507,12,7,3,285.0,4335,228.1578947368421,119.16607745755712,345,30,22.0,23.31578947368421,15.117270122468495,47,2,78.798542,0
43.45558855592533,1807.1110518663115,7,9,3,82.5,2430,151.875,126.26701617999848,345,15,22.0,22.625,15.29654781315052,47,2,70.742161,0
87.02449603613024,1714.7357798209948,10,7,3,255.0,3570,210.0,117.66102858235952,345,45,17.0,21.41176470588235,13.04769000754049,47,2,75.988708,0
40.0,1454.7753287985176,8,7,3,255.0,2895,193.0,129.48358969382954,345,30,22.0,23.666666666666668,11.925695879998877,47,2,68.534717,0
269.48612805935187,1704.4321293938483,9,7,1,255.0,3150,196.875,121.8461504315996,345,15,14.5,20.75,14.737282653189496,47,2,70.498275,0
107.6421108302429,1163.3433143799616,3,5,2,67.5,1110,138.75,118.76315716584836,315,15,34.5,30.125,11.162856937182346,42,7,57.202627,0
205.2997808084558,2030.9060972928723,9,8,2,240.0,3195,187.94117647058823,126.35220177240112,345,15,32.0,26.705882352941178,15.094855788654518,47,2,78.9859,0
40.77496789914136,1539.7165574591766,12,15,5,90.0,4365,161.66666666666666,127.69320872918637,330,15,12.0,16.62962962962963,11.857637476727495,47,2,48.606885,1
6.545009041319231,1511.5997496232887,5,7,3,82.5,1800,150.0,119.21619017566364,315,15,22.0,23.25,13.40475661845451,47,7,38.635118,1
269.48612805935187,1693.1219792552686,4,7,2,75.0,1395,126.8181818181818,94.73102417977312,270,15,17.0,23.363636363636363,11.695163936607823,42,2,68.221158,0
167.74661140877944,1410.0638542552751,7,6,7,255.0,2625,201.92307692307693,126.95454155445474,345,30,22.0,23.53846153846154,13.920739285272198,42,2,47.188659,1
